TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Calyptomyrmex	Myrmicinae	Crematogastrini	Calyptomyrmex		Emery, 1887	Emery	1887	Calyptomyrmex beccarii		38	Present	https://www.antwiki.org/wiki/Calyptomyrmex
Campomyrma	Formicinae	Camponotini	Polyrhachis	Campomyrma	Wheeler, W.M., 1911	Wheeler, W.M.	1911	Polyrhachis clypeata	Polyrhachis exercita	58	Present	https://www.antwiki.org/wiki/Campomyrma
Camponotus	Formicinae	Camponotini	Camponotus		Mayr, 1861	Mayr	1861	Formica ligniperda	Camponotus ligniperda	1497	Present	https://www.antwiki.org/wiki/Camponotus
Camponotus (subgenus)	Formicinae	Camponotini	Camponotus	Camponotus	Mayr, 1861	Mayr	1861	Formica ligniperda	Camponotus ligniperda	1497		https://www.antwiki.org/wiki/Camponotus (subgenus)
Cardiocondyla	Myrmicinae	Crematogastrini	Cardiocondyla		Emery, 1869	Emery	1869	Cardiocondyla elegans		75	Present	https://www.antwiki.org/wiki/Cardiocondyla
Carebara	Myrmicinae	Crematogastrini	Carebara		Westwood, 1840	Westwood	1840	Carebara lignata		245	Present	https://www.antwiki.org/wiki/Carebara
Cataglyphis	Formicinae	Formicini	Cataglyphis		Foerster, 1850	Foerster	1850	Cataglyphis fairmairei	Formica bicolor	117	Present	https://www.antwiki.org/wiki/Cataglyphis
Cataulacus	Myrmicinae	Crematogastrini	Cataulacus		Smith, F., 1853	Smith, F.	1853	Cataulacus taprobanae		65	Present	https://www.antwiki.org/wiki/Cataulacus
Cautolasius	Formicinae	Lasiini	Lasius	Cautolasius	Wilson, 1955	Wilson	1955	Formica flava	Lasius flavus		Present	https://www.antwiki.org/wiki/Cautolasius
Centromyrmex	Ponerinae	Ponerini	Centromyrmex		Mayr, 1866	Mayr	1866	Centromyrmex bohemanni	Centromyrmex brachycola	17	Present	https://www.antwiki.org/wiki/Centromyrmex
Cephalotes	Myrmicinae	Attini	Cephalotes		Latreille, 1802	Latreille	1802	Formica atrata	Cephalotes atratus	119	Present	https://www.antwiki.org/wiki/Cephalotes
Cerapachys	Dorylinae		Cerapachys		Smith, F., 1857	Smith, F.	1857	Cerapachys antennatus		5	Present	https://www.antwiki.org/wiki/Cerapachys
Chariomyrma	Formicinae	Camponotini	Polyrhachis	Chariomyrma	Forel, 1915	Forel	1915	Polyrhachis guerini		69	Present	https://www.antwiki.org/wiki/Chariomyrma
Chelaner	Myrmicinae	Solenopsidini	Chelaner		Emery, 1914	Emery	1914	Monomorium forcipatum	Chelaner forcipatus	53	Present	https://www.antwiki.org/wiki/Chelaner
Cheliomyrmex	Dorylinae		Cheliomyrmex		Mayr, 1870	Mayr	1870	Cheliomyrmex nortoni	Cheliomyrmex morosus	4	Present	https://www.antwiki.org/wiki/Cheliomyrmex
Chimaeridris	Myrmicinae	Attini	Chimaeridris		Wilson, 1989	Wilson	1989	Chimaeridris boltoni		2	Present	https://www.antwiki.org/wiki/Chimaeridris
Chronoxenus	Dolichoderinae	Bothriomyrmecini	Chronoxenus		Santschi, 1919	Santschi	1919	Bothriomyrmex myops	Chronoxenus myops	9	Present	https://www.antwiki.org/wiki/Chronoxenus
Chrysapace	Dorylinae		Chrysapace		Crawley, 1924	Crawley	1924	Chrysapace jacobsoni		4	Present	https://www.antwiki.org/wiki/Chrysapace
Chthonolasius	Formicinae	Lasiini	Lasius	Chthonolasius	Ruzsky, 1912	Ruzsky	1912	Formica umbrata	Lasius umbratus		Present	https://www.antwiki.org/wiki/Chthonolasius
Cladomyrma	Formicinae	Lasiini	Cladomyrma		Wheeler, W.M., 1920	Wheeler, W.M.	1920	Aphomomyrmex hewitti	Cladomyrma hewitti	13	Present	https://www.antwiki.org/wiki/Cladomyrma
Colobopsis	Formicinae	Camponotini	Colobopsis		Mayr, 1861	Mayr	1861	Formica truncata	Colobopsis truncata	118	Present	https://www.antwiki.org/wiki/Colobopsis
Colobostruma	Myrmicinae	Attini	Colobostruma		Wheeler, W.M., 1927	Wheeler, W.M.	1927	Epopostruma (Colobostruma) leae	Colobostruma leae	16	Present	https://www.antwiki.org/wiki/Colobostruma
Condylodon	uncertain		Condylodon		Lund, 1831	Lund	1831	Condylodon audouini		1		https://www.antwiki.org/wiki/Condylodon
Crematogaster	Myrmicinae	Crematogastrini	Crematogaster		Lund, 1831	Lund	1831	Formica scutellaris	Crematogaster scutellaris	773	Present	https://www.antwiki.org/wiki/Crematogaster
Crematogaster (subgenus)	Myrmicinae	Crematogastrini	Crematogaster	Crematogaster	Lund, 1831	Lund	1831	Formica scutellaris	Crematogaster scutellaris	773	Present	https://www.antwiki.org/wiki/Crematogaster (subgenus)
Cryptomyrmex	Myrmicinae	Solenopsidini	Cryptomyrmex		Fernndez, 2004	Fernndez	2004	Adelomyrmex longinodus	Cryptomyrmex longinodus	2	Present	https://www.antwiki.org/wiki/Cryptomyrmex
Cryptopone	Ponerinae	Ponerini	Cryptopone		Emery, 1893	Emery	1893	Cryptopone testacea		26	Present	https://www.antwiki.org/wiki/Cryptopone
