TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Lasius	Formicinae	Lasiini	Lasius		Fabricius, 1804	Fabricius	1804	Formica nigra		141	Present	https://www.antwiki.org/wiki/Lasius
Lasius (subgenus)	Formicinae	Lasiini	Lasius	Lasius	Fabricius, 1804	Fabricius	1804	Formica nigra		141		https://www.antwiki.org/wiki/Lasius (subgenus)
Lenomyrmex	Myrmicinae	Attini	Lenomyrmex		Fernndez & Palacio, 1999	Fernndez & Palacio	1999	Lenomyrmex mandibularis		7	Present	https://www.antwiki.org/wiki/Lenomyrmex
Lepisiota	Formicinae	Plagiolepidini	Lepisiota		Santschi, 1926	Santschi	1926	Plagiolepis rothneyi	Lepisiota rothneyi	137	Present	https://www.antwiki.org/wiki/Lepisiota
Lepisiota (subgenus)	Formicinae	Plagiolepidini	Lepisiota	Lepisiota	Santschi, 1926	Santschi	1926	Plagiolepis rothneyi	Lepisiota rothneyi	137		https://www.antwiki.org/wiki/Lepisiota (subgenus)
Leptanilla	Leptanillinae	Leptanillini	Leptanilla		Emery, 1870	Emery	1870	Leptanilla revelierii		47	Present	https://www.antwiki.org/wiki/Leptanilla
Leptanilloides	Dorylinae		Leptanilloides		Mann, 1923	Mann	1923	Leptanilloides biconstrictus		19	Present	https://www.antwiki.org/wiki/Leptanilloides
Leptogenys	Ponerinae	Ponerini	Leptogenys		Roger, 1861	Roger	1861	Leptogenys falcigera		329	Present	https://www.antwiki.org/wiki/Leptogenys
Leptomyrmex	Dolichoderinae	Leptomyrmecini	Leptomyrmex		Mayr, 1862	Mayr	1862	Formica erythrocephalus	Leptomyrmex erythrocephalus	28	Present	https://www.antwiki.org/wiki/Leptomyrmex
Leptothorax	Myrmicinae	Crematogastrini	Leptothorax		Mayr, 1855	Mayr	1855	Formica acervorum	Leptothorax acervorum	20	Present	https://www.antwiki.org/wiki/Leptothorax
Linepithema	Dolichoderinae	Leptomyrmecini	Linepithema		Mayr, 1866	Mayr	1866	Linepithema fuscum		21	Present	https://www.antwiki.org/wiki/Linepithema
Liometopum	Dolichoderinae	Tapinomini	Liometopum		Mayr, 1861	Mayr	1861	Formica microcephala	Liometopum microcephalum	7	Present	https://www.antwiki.org/wiki/Liometopum
Liomyrmex	Myrmicinae	Crematogastrini	Liomyrmex		Mayr, 1865	Mayr	1865	Myrmica caeca	Liomyrmex gestroi	1	Present	https://www.antwiki.org/wiki/Liomyrmex
Lioponera	Dorylinae		Lioponera		Mayr, 1879	Mayr	1879	Lioponera longitarsus		76	Present	https://www.antwiki.org/wiki/Lioponera
Lividopone	Dorylinae		Lividopone		Bolton & Fisher, 2016	Bolton & Fisher	2016	Cerapachys lividus	Lividopone livida	1	Present	https://www.antwiki.org/wiki/Lividopone
Loboponera	Ponerinae	Ponerini	Loboponera		Bolton & Brown, 2002	Bolton & Brown	2002	Loboponera vigilans		9	Present	https://www.antwiki.org/wiki/Loboponera
Lophomyrmex	Myrmicinae	Crematogastrini	Lophomyrmex		Emery, 1892	Emery	1892	Oecodoma quadrispinosa	Lophomyrmex quadrispinosus	13	Present	https://www.antwiki.org/wiki/Lophomyrmex
Lordomyrma	Myrmicinae	Crematogastrini	Lordomyrma		Emery, 1897	Emery	1897	Lordomyrma furcifera		34	Present	https://www.antwiki.org/wiki/Lordomyrma
Loweriella	Dolichoderinae	Bothriomyrmecini	Loweriella		Shattuck, 1992	Shattuck	1992	Loweriella boltoni		1	Present	https://www.antwiki.org/wiki/Loweriella
Malagidris	Myrmicinae	Crematogastrini	Malagidris		Bolton & Fisher, 2014	Bolton & Fisher	2014	Aphaenogaster belti	Malagidris belti	6	Present	https://www.antwiki.org/wiki/Malagidris
Manica	Myrmicinae	Myrmicini	Manica		Jurine, 1807	Jurine	1807	Formica rubida	Manica rubida	6	Present	https://www.antwiki.org/wiki/Manica
Manniella	Formicinae	Camponotini	Camponotus	Manniella	Wheeler, W.M., 1921	Wheeler, W.M.	1921	Camponotus sphaericus				https://www.antwiki.org/wiki/Manniella
Martialis	Martialinae		Martialis		Rabeling & Verhaagh, 2008	Rabeling & Verhaagh	2008	Martialis heureka		1	Present	https://www.antwiki.org/wiki/Martialis
Mayaponera	Ponerinae	Ponerini	Mayaponera		Schmidt & Shattuck, 2014	Schmidt & Shattuck	2014	Ponera constricta	Mayaponera constricta	7	Present	https://www.antwiki.org/wiki/Mayaponera
Mayria	Formicinae	Camponotini	Camponotus	Mayria	Forel, 1878	Forel	1878	Camponotus repens			Present	https://www.antwiki.org/wiki/Mayria
Mayriella	Myrmicinae	Crematogastrini	Mayriella		Forel, 1902	Forel	1902	Mayriella abstinens		9	Present	https://www.antwiki.org/wiki/Mayriella
Megalomyrmex	Myrmicinae	Solenopsidini	Megalomyrmex		Forel, 1885	Forel	1885	Megalomyrmex leoninus		45	Present	https://www.antwiki.org/wiki/Megalomyrmex
Megaponera	Ponerinae	Ponerini	Megaponera		Mayr, 1862	Mayr	1862	Formica foetens	Megaponera analis	6	Present	https://www.antwiki.org/wiki/Megaponera
Melissotarsus	Myrmicinae	Crematogastrini	Melissotarsus		Emery, 1877	Emery	1877	Melissotarsus beccarii		4	Present	https://www.antwiki.org/wiki/Melissotarsus
Melophorus	Formicinae	Melophorini	Melophorus		Lubbock, 1883	Lubbock	1883	Melophorus bagoti		92	Present	https://www.antwiki.org/wiki/Melophorus
Meranoplus	Myrmicinae	Crematogastrini	Meranoplus		Smith, F., 1853	Smith, F.	1853	Cryptocerus bicolor	Meranoplus bicolor	91	Present	https://www.antwiki.org/wiki/Meranoplus
Mesoponera	Ponerinae	Ponerini	Mesoponera		Emery, 1900	Emery	1900	Ponera melanaria	Mesoponera melanaria	27	Present	https://www.antwiki.org/wiki/Mesoponera
Mesostruma	Myrmicinae	Attini	Mesostruma		Brown, 1948	Brown	1948	Strumigenys (Epopostruma) turneri	Mesostruma turneri	9	Present	https://www.antwiki.org/wiki/Mesostruma
Messor	Myrmicinae	Stenammini	Messor		Forel, 1890	Forel	1890	Formica barbara	Messor barbarus	163	Present	https://www.antwiki.org/wiki/Messor
Metapone	Myrmicinae	Crematogastrini	Metapone		Forel, 1911	Forel	1911	Metapone greeni		31	Present	https://www.antwiki.org/wiki/Metapone
Microdaceton	Myrmicinae	Attini	Microdaceton		Santschi, 1913	Santschi	1913	Microdaceton exornatum		4	Present	https://www.antwiki.org/wiki/Microdaceton
Moellerius	Myrmicinae	Attini	Acromyrmex	Moellerius	Forel, 1893	Forel	1893	Atta (Acromyrmex) landolti	Acromyrmex landolti		Present	https://www.antwiki.org/wiki/Moellerius
Monomorium	Myrmicinae	Solenopsidini	Monomorium		Mayr, 1855	Mayr	1855	Monomorium minutum	Monomorium monomorium	319	Present	https://www.antwiki.org/wiki/Monomorium
Myagroteras	Formicinae	Myrmoteratini	Myrmoteras	Myagroteras	Moffett, 1985	Moffett	1985	Myrmoteras donisthorpei			Present	https://www.antwiki.org/wiki/Myagroteras
Mycetagroicus	Myrmicinae	Attini	Mycetagroicus		Brando & Mayh-Nunes, 2001	Brando & Mayh-Nunes	2001	Mycetagroicus cerradensis		4	Present	https://www.antwiki.org/wiki/Mycetagroicus
Mycetarotes	Myrmicinae	Attini	Mycetarotes		Emery, 1913	Emery	1913	Cyphomyrmex parallelus	Mycetarotes parallelus	4	Present	https://www.antwiki.org/wiki/Mycetarotes
Mycetomoellerius	Myrmicinae	Attini	Mycetomoellerius		Solomon, Rabeling, Sosa-Calvo & Schultz, 2019	Solomon, Rabeling, Sosa-Calvo & Schultz	2019	Atta iheringi	Mycetomoellerius iheringi	30		https://www.antwiki.org/wiki/Mycetomoellerius
Mycetophylax	Myrmicinae	Attini	Mycetophylax		Emery, 1913	Emery	1913	Myrmicocrypta brittoni	Mycetophylax conformis	21	Present	https://www.antwiki.org/wiki/Mycetophylax
Mycetosoritis	Myrmicinae	Attini	Mycetosoritis		Wheeler, W.M., 1907	Wheeler, W.M.	1907	Atta (Mycetosoritis) hartmanni	Mycetosoritis hartmanni	2	Present	https://www.antwiki.org/wiki/Mycetosoritis
Mycocepurus	Myrmicinae	Attini	Mycocepurus		Forel, 1893	Forel	1893	Atta (Mycocepurus) smithii	Mycocepurus smithii	6	Present	https://www.antwiki.org/wiki/Mycocepurus
Myopias	Ponerinae	Ponerini	Myopias		Roger, 1861	Roger	1861	Myopias amblyops		48	Present	https://www.antwiki.org/wiki/Myopias
Myopopone	Amblyoponinae	Amblyoponini	Myopopone		Roger, 1861	Roger	1861	Myopopone maculata	Myopopone castanea	1	Present	https://www.antwiki.org/wiki/Myopopone
Myrcidris	Pseudomyrmecinae		Myrcidris		Ward, 1990	Ward	1990	Myrcidris epicharis		1	Present	https://www.antwiki.org/wiki/Myrcidris
Myrma	Formicinae	Camponotini	Polyrhachis	Myrma	Billberg, 1820	Billberg	1820	Formica militaris	Polyrhachis militaris	186	Present	https://www.antwiki.org/wiki/Myrma
Myrmacrhaphe	Formicinae	Camponotini	Camponotus	Myrmacrhaphe	Santschi, 1926	Santschi	1926	Camponotus conradti			Present	https://www.antwiki.org/wiki/Myrmacrhaphe
Myrmamblys	Formicinae	Camponotini	Camponotus	Myrmamblys	Forel, 1912	Forel	1912	Camponotus reticulatus		9	Present	https://www.antwiki.org/wiki/Myrmamblys
Myrmaphaenus	Formicinae	Camponotini	Camponotus	Myrmaphaenus	Emery, 1920	Emery	1920	Camponotus leydigi			Present	https://www.antwiki.org/wiki/Myrmaphaenus
Myrmatopa	Formicinae	Camponotini	Polyrhachis	Myrmatopa	Forel, 1915	Forel	1915	Polyrhachis schang		47	Present	https://www.antwiki.org/wiki/Myrmatopa
Myrmecia	Myrmeciinae	Myrmeciini	Myrmecia		Fabricius, 1804	Fabricius	1804	Formica gulosa	Myrmecia gulosa	93	Present	https://www.antwiki.org/wiki/Myrmecia
Myrmecina	Myrmicinae	Crematogastrini	Myrmecina		Curtis, 1829	Curtis	1829	Myrmecina latreillii	Myrmecina graminicola	99	Present	https://www.antwiki.org/wiki/Myrmecina
Myrmecocystus	Formicinae	Lasiini	Myrmecocystus		Wesmael, 1838	Wesmael	1838	Myrmecocystus mexicanus		30	Present	https://www.antwiki.org/wiki/Myrmecocystus
Myrmecorhynchus	Formicinae	Melophorini	Myrmecorhynchus		Andr, 1896	Andr	1896	Myrmecorhynchus emeryi		3	Present	https://www.antwiki.org/wiki/Myrmecorhynchus
Myrmelachista	Formicinae	Myrmelachistini	Myrmelachista		Roger, 1863	Roger	1863	Myrmelachista kraatzii		69	Present	https://www.antwiki.org/wiki/Myrmelachista
Myrmentoma	Formicinae	Camponotini	Camponotus	Myrmentoma	Forel, 1912	Forel	1912	Formica lateralis	Camponotus lateralis	7	Present	https://www.antwiki.org/wiki/Myrmentoma
Myrmepinotus	Formicinae	Camponotini	Camponotus	Myrmepinotus	Santschi, 1921	Santschi	1921	Camponotus echinoploides			Present	https://www.antwiki.org/wiki/Myrmepinotus
Myrmepomis	Formicinae	Camponotini	Camponotus	Myrmepomis	Forel, 1912	Forel	1912	Formica sericeiventris	Camponotus sericeiventris		Present	https://www.antwiki.org/wiki/Myrmepomis
Myrmespera	Formicinae	Camponotini	Camponotus	Myrmespera	Santschi, 1926	Santschi	1926	Camponotus debellator			Present	https://www.antwiki.org/wiki/Myrmespera
Myrmeurynota	Formicinae	Camponotini	Camponotus	Myrmeurynota	Forel, 1912	Forel	1912	Camponotus eurynotus				https://www.antwiki.org/wiki/Myrmeurynota
Myrmhopla	Formicinae	Camponotini	Polyrhachis	Myrmhopla	Forel, 1915	Forel	1915	Formica armata	Polyrhachis armata	166	Present	https://www.antwiki.org/wiki/Myrmhopla
Myrmica	Myrmicinae	Myrmicini	Myrmica		Latreille, 1804	Latreille	1804	Formica rubra	Myrmica rubra	210	Present	https://www.antwiki.org/wiki/Myrmica
Myrmicaria	Myrmicinae	Solenopsidini	Myrmicaria		Saunders, W.W., 1842	Saunders, W.W.	1842	Myrmicaria brunnea		71	Present	https://www.antwiki.org/wiki/Myrmicaria
Myrmicocrypta	Myrmicinae	Attini	Myrmicocrypta		Smith, F., 1860	Smith, F.	1860	Myrmicocrypta squamosa		31	Present	https://www.antwiki.org/wiki/Myrmicocrypta
Myrmisolepis	Formicinae	Camponotini	Camponotus	Myrmisolepis	Santschi, 1921	Santschi	1921	Camponotus braunsi epinotalis			Present	https://www.antwiki.org/wiki/Myrmisolepis
Myrmobrachys	Formicinae	Camponotini	Camponotus	Myrmobrachys	Forel, 1912	Forel	1912	Formica senex	Camponotus senex		Present	https://www.antwiki.org/wiki/Myrmobrachys
Myrmocladoecus	Formicinae	Camponotini	Camponotus	Myrmocladoecus	Wheeler, W.M., 1921	Wheeler, W.M.	1921	Camponotus latangulus			Present	https://www.antwiki.org/wiki/Myrmocladoecus
Myrmodirachis	Formicinae	Camponotini	Camponotus	Myrmodirachis	Emery, 1925	Emery	1925	Camponotus heathi			Present	https://www.antwiki.org/wiki/Myrmodirachis
Myrmomalis	Formicinae	Camponotini	Camponotus	Myrmomalis	Forel, 1914	Forel	1914	Camponotus depressus			Present	https://www.antwiki.org/wiki/Myrmomalis
Myrmonesites	Formicinae	Camponotini	Camponotus	Myrmonesites	Emery, 1920	Emery	1920	Camponotus putatus			Present	https://www.antwiki.org/wiki/Myrmonesites
Myrmopalpella	Formicinae	Camponotini	Camponotus	Myrmopalpella	Strcke, 1934	Strcke	1934	Camponotus megalonyx			Present	https://www.antwiki.org/wiki/Myrmopalpella
Myrmopelta	Formicinae	Camponotini	Camponotus	Myrmopelta	Santschi, 1921	Santschi	1921	Camponotus arminius			Present	https://www.antwiki.org/wiki/Myrmopelta
Myrmophyma	Formicinae	Camponotini	Camponotus	Myrmophyma	Forel, 1912	Forel	1912	Camponotus capito			Present	https://www.antwiki.org/wiki/Myrmophyma
Myrmopiromis	Formicinae	Camponotini	Camponotus	Myrmopiromis	Wheeler, W.M., 1921	Wheeler, W.M.	1921	Formica fulvopilosa	Camponotus fulvopilosus		Present	https://www.antwiki.org/wiki/Myrmopiromis
Myrmoplatypus	Formicinae	Camponotini	Camponotus	Myrmoplatypus	Santschi, 1921	Santschi	1921	Camponotus platytarsus				https://www.antwiki.org/wiki/Myrmoplatypus
Myrmoplatys	Formicinae	Camponotini	Camponotus	Myrmoplatys	Forel, 1916	Forel	1916	Camponotus korthalsiae			Present	https://www.antwiki.org/wiki/Myrmoplatys
Myrmopsamma	Formicinae	Camponotini	Camponotus	Myrmopsamma	Forel, 1914	Forel	1914	Camponotus mystaceus			Present	https://www.antwiki.org/wiki/Myrmopsamma
Myrmopytia	Formicinae	Camponotini	Camponotus	Myrmopytia	Emery, 1920	Emery	1920	Camponotus imitator			Present	https://www.antwiki.org/wiki/Myrmopytia
Myrmosaulus	Formicinae	Camponotini	Camponotus	Myrmosaulus	Wheeler, W.M., 1921	Wheeler, W.M.	1921	Formica cinerascens	Camponotus cinerascens			https://www.antwiki.org/wiki/Myrmosaulus
Myrmosericus	Formicinae	Camponotini	Camponotus	Myrmosericus	Forel, 1912	Forel	1912	Formica rufoglauca	Camponotus rufoglaucus		Present	https://www.antwiki.org/wiki/Myrmosericus
Myrmosphincta	Formicinae	Camponotini	Camponotus	Myrmosphincta	Forel, 1912	Forel	1912	Formica sexguttata	Camponotus sexguttatus		Present	https://www.antwiki.org/wiki/Myrmosphincta
Myrmostenus	Formicinae	Camponotini	Camponotus	Myrmostenus	Emery, 1920	Emery	1920	Camponotus mirabilis			Present	https://www.antwiki.org/wiki/Myrmostenus
Myrmotarsus	Formicinae	Camponotini	Camponotus	Myrmotarsus	Forel, 1912	Forel	1912	Formica mistura	Camponotus misturus		Present	https://www.antwiki.org/wiki/Myrmotarsus
Myrmotemnus	Formicinae	Camponotini	Camponotus	Myrmotemnus	Emery, 1920	Emery	1920	Camponotus moeschi			Present	https://www.antwiki.org/wiki/Myrmotemnus
Myrmoteras	Formicinae	Myrmoteratini	Myrmoteras		Forel, 1893	Forel	1893	Myrmoteras binghamii		41	Present	https://www.antwiki.org/wiki/Myrmoteras
Myrmoteras (subgenus)	Formicinae	Myrmoteratini	Myrmoteras	Myrmoteras	Mayr, 1861	Mayr	1861	Myrmoteras binghamii		41		https://www.antwiki.org/wiki/Myrmoteras (subgenus)
Myrmothrinax	Formicinae	Camponotini	Polyrhachis	Myrmothrinax	Forel, 1915	Forel	1915	Polyrhachis thrinax		35	Present	https://www.antwiki.org/wiki/Myrmothrinax
Myrmothrix	Formicinae	Camponotini	Camponotus	Myrmothrix	Forel, 1912	Forel	1912	Formica abdominalis	Camponotus atriceps		Present	https://www.antwiki.org/wiki/Myrmothrix
Myrmotrema	Formicinae	Camponotini	Camponotus	Myrmotrema	Forel, 1912	Forel	1912	Camponotus foraminosus			Present	https://www.antwiki.org/wiki/Myrmotrema
Myrmoxygenys	Formicinae	Camponotini	Camponotus	Myrmoxygenys	Emery, 1925	Emery	1925	Camponotus caesar			Present	https://www.antwiki.org/wiki/Myrmoxygenys
Mystrium	Amblyoponinae	Amblyoponini	Mystrium		Roger, 1862	Roger	1862	Mystrium mysticum		14	Present	https://www.antwiki.org/wiki/Mystrium
Nebothriomyrmex	Dolichoderinae	Leptomyrmecini	Nebothriomyrmex		Dubovikov, 2004	Dubovikov	2004	Nebothriomyrmex majeri		1	Present	https://www.antwiki.org/wiki/Nebothriomyrmex
Neivamyrmex	Dorylinae		Neivamyrmex		Borgmeier, 1940	Borgmeier	1940	Eciton schmitti	Neivamyrmex nigrescens	129	Present	https://www.antwiki.org/wiki/Neivamyrmex
Neocerapachys	Dorylinae		Neocerapachys		Borowiec, 2016	Borowiec	2016	Cerapachys (Cerapachys) neotropicus	Neocerapachys neotropicus	2	Present	https://www.antwiki.org/wiki/Neocerapachys
Neoponera	Ponerinae	Ponerini	Neoponera		Emery, 1901	Emery	1901	Formica villosa	Neoponera villosa	57	Present	https://www.antwiki.org/wiki/Neoponera
Nesomyrmex	Myrmicinae	Crematogastrini	Nesomyrmex		Wheeler, W.M., 1910	Wheeler, W.M.	1910	Nesomyrmex clavipilis		84	Present	https://www.antwiki.org/wiki/Nesomyrmex
Nomamyrmex	Dorylinae		Nomamyrmex		Borgmeier, 1936	Borgmeier	1936	Eciton crassicornis	Nomamyrmex esenbeckii	2	Present	https://www.antwiki.org/wiki/Nomamyrmex
Noonilla	Leptanillinae	Leptanillini	Noonilla		Petersen, 1968	Petersen	1968	Noonilla copiosa		1	Present	https://www.antwiki.org/wiki/Noonilla
Nothomyrmecia	Myrmeciinae	Prionomyrmecini	Nothomyrmecia		Clark, 1934	Clark	1934	Nothomyrmecia macrops		1	Present	https://www.antwiki.org/wiki/Nothomyrmecia
Notoncus	Formicinae	Melophorini	Notoncus		Emery, 1895	Emery	1895	Camponotus ectatommoides	Notoncus ectatommoides	6	Present	https://www.antwiki.org/wiki/Notoncus
Notostigma	Formicinae	Melophorini	Notostigma		Emery, 1920	Emery	1920	Camponotus carazzii	Notostigma carazzii	2	Present	https://www.antwiki.org/wiki/Notostigma
Novomessor	Myrmicinae	Stenammini	Novomessor		Emery, 1915	Emery	1915	Aphaenogaster cockerelli	Novomessor cockerelli	3	Present	https://www.antwiki.org/wiki/Novomessor
Nylanderia	Formicinae	Lasiini	Nylanderia		Emery, 1906	Emery	1906	Formica vividula	Nylanderia vividula	149	Present	https://www.antwiki.org/wiki/Nylanderia
Ochetellus	Dolichoderinae	Leptomyrmecini	Ochetellus		Shattuck, 1992	Shattuck	1992	Hypoclinea glabra	Ochetellus glaber	10	Present	https://www.antwiki.org/wiki/Ochetellus
Ochetomyrmex	Myrmicinae	Attini	Ochetomyrmex		Mayr, 1878	Mayr	1878	Ochetomyrmex semipolitus		2	Present	https://www.antwiki.org/wiki/Ochetomyrmex
Octostruma	Myrmicinae	Attini	Octostruma		Forel, 1912	Forel	1912	Rhopalothrix simoni	Octostruma iheringi	34	Present	https://www.antwiki.org/wiki/Octostruma
Ocymyrmex	Myrmicinae	Crematogastrini	Ocymyrmex		Emery, 1886	Emery	1886	Ocymyrmex barbiger		34	Present	https://www.antwiki.org/wiki/Ocymyrmex
Odontomachus	Ponerinae	Ponerini	Odontomachus		Latreille, 1804	Latreille	1804	Formica haematodus	Odontomachus haematodus	76	Present	https://www.antwiki.org/wiki/Odontomachus
Odontoponera	Ponerinae	Ponerini	Odontoponera		Mayr, 1862	Mayr	1862	Ponera denticulata	Odontoponera denticulata	4	Present	https://www.antwiki.org/wiki/Odontoponera
Oecophylla	Formicinae	Oecophyllini	Oecophylla		Smith, F., 1860	Smith, F.	1860	Formica virescens	Oecophylla smaragdina	15	Present	https://www.antwiki.org/wiki/Oecophylla
Onychomyrmex	Amblyoponinae	Amblyoponini	Onychomyrmex		Emery, 1895	Emery	1895	Onychomyrmex hedleyi		4	Present	https://www.antwiki.org/wiki/Onychomyrmex
Ooceraea	Dorylinae		Ooceraea		Roger, 1862	Roger	1862	Ooceraea fragosa		16	Present	https://www.antwiki.org/wiki/Ooceraea
Opamyrma	Leptanillinae		Opamyrma		Yamane, Bui & Eguchi, 2008	Yamane, Bui & Eguchi	2008	Opamyrma hungvuong		1	Present	https://www.antwiki.org/wiki/Opamyrma
Ophthalmopone	Ponerinae	Ponerini	Ophthalmopone		Forel, 1890	Forel	1890	Ophthalmopone berthoudi		6	Present	https://www.antwiki.org/wiki/Ophthalmopone
Opisthopsis	Formicinae	Camponotini	Opisthopsis		Dalla Torre, 1893	Dalla Torre	1893	Formica (Myrmecopsis) respiciens	Opisthopsis respiciens	20	Present	https://www.antwiki.org/wiki/Opisthopsis
Orectognathus	Myrmicinae	Attini	Orectognathus		Smith, F., 1853	Smith, F.	1853	Orectognathus antennatus		29	Present	https://www.antwiki.org/wiki/Orectognathus
Orthocrema	Myrmicinae	Crematogastrini	Crematogaster	Orthocrema	Santschi, 1918	Santschi	1918	Myrmica sordidula	Crematogaster sordidula		Present	https://www.antwiki.org/wiki/Orthocrema
Orthonotomyrmex	Formicinae	Camponotini	Camponotus	Orthonotomyrmex	Ashmead, 1906	Ashmead	1906	Formica sericea	Camponotus sericeus		Present	https://www.antwiki.org/wiki/Orthonotomyrmex
Overbeckia	Formicinae	Camponotini	Overbeckia		Viehmeyer, 1916	Viehmeyer	1916	Overbeckia subclavata		1	Present	https://www.antwiki.org/wiki/Overbeckia
Oxyepoecus	Myrmicinae	Solenopsidini	Oxyepoecus		Santschi, 1926	Santschi	1926	Oxyepoecus bruchi		21	Present	https://www.antwiki.org/wiki/Oxyepoecus
Oxyopomyrmex	Myrmicinae	Stenammini	Oxyopomyrmex		Andr, 1881	Andr	1881	Oxyopomyrmex oculatus		12	Present	https://www.antwiki.org/wiki/Oxyopomyrmex
Pachycondyla	Ponerinae	Ponerini	Pachycondyla		Smith, F., 1858	Smith, F.	1858	Formica crassinoda	Pachycondyla crassinoda	17	Present	https://www.antwiki.org/wiki/Pachycondyla
Paltothyreus	Ponerinae	Ponerini	Paltothyreus		Mayr, 1862	Mayr	1862	Formica tarsata	Paltothyreus tarsatus	7	Present	https://www.antwiki.org/wiki/Paltothyreus
Papyrius	Dolichoderinae	Leptomyrmecini	Papyrius		Shattuck, 1992	Shattuck	1992	Iridomyrmex nitida	Papyrius nitidus	5	Present	https://www.antwiki.org/wiki/Papyrius
Paramycetophylax	Myrmicinae	Attini	Paramycetophylax		Kusnezov, 1956	Kusnezov	1956	Sericomyrmex bruchi	Paramycetophylax bruchi	1	Present	https://www.antwiki.org/wiki/Paramycetophylax
Paramyrmamblys	Formicinae	Camponotini	Camponotus	Paramyrmamblys	Santschi, 1926	Santschi	1926	Camponotus ostiarius			Present	https://www.antwiki.org/wiki/Paramyrmamblys
Paraparatrechina	Formicinae	Lasiini	Paraparatrechina		Donisthorpe, 1947	Donisthorpe	1947	Paratrechina (Paraparatrechina) pallida	Paraparatrechina pallida	42	Present	https://www.antwiki.org/wiki/Paraparatrechina
Paraponera	Paraponerinae		Paraponera		Smith, F., 1858	Smith, F.	1858	Formica clavata	Paraponera clavata	1	Present	https://www.antwiki.org/wiki/Paraponera
Parasyscia	Dorylinae		Parasyscia		Emery, 1882	Emery	1882	Parasyscia piochardi		51	Present	https://www.antwiki.org/wiki/Parasyscia
Paratopula	Myrmicinae	Crematogastrini	Paratopula		Wheeler, W.M., 1919	Wheeler, W.M.	1919	Atopomyrmex ceylonicus	Paratopula ceylonica	12	Present	https://www.antwiki.org/wiki/Paratopula
Paratrachymyrmex	Myrmicinae	Attini	Paratrachymyrmex		Solomon, Rabeling, Sosa-Calvo & Schultz, 2019	Solomon, Rabeling, Sosa-Calvo & Schultz	2019	Atta intermedia	Paratrachymyrmex intermedius	9		https://www.antwiki.org/wiki/Paratrachymyrmex
Paratrechina	Formicinae	Lasiini	Paratrechina		Motschoulsky, 1863	Motschoulsky	1863	Paratrechina currens	Paratrechina longicornis	6	Present	https://www.antwiki.org/wiki/Paratrechina
Parvaponera	Ponerinae	Ponerini	Parvaponera		Schmidt & Shattuck, 2014	Schmidt & Shattuck	2014	Belonopelta darwinii	Parvaponera darwinii	7	Present	https://www.antwiki.org/wiki/Parvaponera
Patagonomyrmex	Myrmicinae	Pogonomyrmecini	Patagonomyrmex		Johnson & Moreau, 2016	Johnson & Moreau	2016	Pogonomyrmex angustus	Patagonomyrmex angustus	3	Present	https://www.antwiki.org/wiki/Patagonomyrmex
Perissomyrmex	Myrmicinae	Crematogastrini	Perissomyrmex		Smith, M.R., 1947	Smith, M.R.	1947	Perissomyrmex snyderi		6	Present	https://www.antwiki.org/wiki/Perissomyrmex
Peronomyrmex	Myrmicinae	Crematogastrini	Peronomyrmex		Viehmeyer, 1922	Viehmeyer	1922	Peronomyrmex overbecki		3	Present	https://www.antwiki.org/wiki/Peronomyrmex
Petalomyrmex	Formicinae	Plagiolepidini	Petalomyrmex		Snelling, R.R., 1979	Snelling, R.R.	1979	Petalomyrmex phylax		1	Present	https://www.antwiki.org/wiki/Petalomyrmex
Phalacromyrmex	Myrmicinae	Attini	Phalacromyrmex		Kempf, 1960	Kempf	1960	Phalacromyrmex fugax		1	Present	https://www.antwiki.org/wiki/Phalacromyrmex
Phasmomyrmex	Formicinae	Camponotini	Camponotus	Phasmomyrmex	Stitz, 1910	Stitz	1910	Phasmomyrmex sericeus	Camponotus buchneri		Present	https://www.antwiki.org/wiki/Phasmomyrmex
Phaulomyrma	Leptanillinae	Leptanillini	Phaulomyrma		Wheeler, G.C. & Wheeler, E.W., 1930	Wheeler, G.C. & Wheeler, E.W.	1930	Phaulomyrma javana		1	Present	https://www.antwiki.org/wiki/Phaulomyrma
Pheidole	Myrmicinae	Attini	Pheidole		Westwood, 1839	Westwood	1839	Atta providens	Pheidole providens	1298	Present	https://www.antwiki.org/wiki/Pheidole
Philidris	Dolichoderinae	Leptomyrmecini	Philidris		Shattuck, 1992	Shattuck	1992	Formica cordata	Philidris cordata	16	Present	https://www.antwiki.org/wiki/Philidris
Phrynoponera	Ponerinae	Ponerini	Phrynoponera		Wheeler, W.M., 1920	Wheeler, W.M.	1920	Bothroponera gabonensis	Phrynoponera gabonensis	5	Present	https://www.antwiki.org/wiki/Phrynoponera
Pilotrochus	Myrmicinae	Attini	Pilotrochus		Brown, 1978	Brown	1978	Pilotrochus besmerus		1	Present	https://www.antwiki.org/wiki/Pilotrochus
Plagiolepis	Formicinae	Plagiolepidini	Plagiolepis		Mayr, 1861	Mayr	1861	Formica pygmaea	Plagiolepis pygmaea	75	Present	https://www.antwiki.org/wiki/Plagiolepis
Platythyrea	Ponerinae	Platythyreini	Platythyrea		Roger, 1863	Roger	1863	Pachycondyla punctata	Platythyrea punctata	39	Present	https://www.antwiki.org/wiki/Platythyrea
